Temperature (K),Carbon Dioxide (CO2),Carbon Monoxide (CO),Water                         (H2O),Oxygen              (O2),Nitrogen                      (N2)
,hºf = -393520 kJ/kmol,hºf = -110530 kJ/kmol,hºf = -241820 kJ/kmol,hºf = 0 kJ/kmol,hºf = 0 kJ/kmol
,h [kJ/kmol],h [kJ/kmol],h [kJ/kmol],h [kJ/kmol],h [kJ/kmol]
298,"9,394","8,669","9,904","8,682","8,669"
600,"22,280","17,611","20,402","17,929","17,563"
610,"22,754","17,915","20,765","18,250","17,864"
620,"23,231","18,221","21,130","18,572","18,166"
630,"23,709","18,527","21,495","18,895","18,468"
640,"24,190","18,833","21,862","19,219","18,772"
650,"24,674","19,141","22,230","19,544","19,075"
660,"25,160","19,449","22,600","19,870","19,380"
670,"25,648","19,758","22,970","20,197","19,685"
680,"26,138","20,068","23,342","20,524","19,991"
690,"26,631","20,378","23,714","20,854","20,297"
700,"27,125","20,690","24,088","21,184","20,604"
710,"27,622","21,002","24,464","21,514","20,912"
720,"28,121","21,315","24,840","21,845","21,220"
730,"28,622","21,628","25,218","22,177","21,529"
740,"29,124","21,943","25,597","22,510","21,839"
750,"29,629","22,258","25,977","22,844","22,149"
760,"30,135","22,573","26,358","23,178","22,460"
770,"30,644","22,890","26,741","23,513","22,772"
780,"31,154","23,208","27,125","23,850","23,085"
790,"31,665","23,526","27,510","24,186","23,398"
800,"32,179","23,844","27,896","24,523","23,714"
810,"32,694","24,164","28,284","24,861","24,027"
820,"33,212","24,483","28,672","25,199","24,342"
830,"33,730","24,803","29,062","25,537","24,658"
840,"34,251","25,124","29,454","25,877","24,974"
850,"34,773","25,446","29,846","26,218","25,292"
860,"35,296","25,768","30,240","26,559","25,610"
870,"35,821","26,091","30,635","26,899","25,928"
880,"36,347","26,415","31,032","27,242","26,248"
890,"36,876","26,740","31,429","27,584","26,568"
900,"37,405","27,066","31,828","27,928","26,890"
910,"37,935","27,392","32,228","28,272","27,210"
920,"38,467","27,719","32,629","28,616","27,532"
930,"39,000","28,046","33,032","28,960","27,854"
940,"39,535","28,375","33,436","29,306","28,178"
950,"40,070","28,703","33,841","29,652","28,501"
960,"40,607","29,033","34,247","29,999","28,826"
970,"41,145","29,362","34,653","30,345","29,151"
980,"41,685","29,693","35,061","30,692","29,476"
990,"42,226","30,024","35,472","31,041","29,803"
1000,"42,769","30,355","35,882","31,389","30,129"
1020,"43,859","31,020","36,709","32,088","30,784"
1040,"44,953","31,688","37,542","32,789","31,442"
1060,"46,051","32,357","38,380","33,490","32,101"
1080,"47,153","33,029","39,223","34,194","32,762"
1100,"48,258","33,702","40,071","34,899","33,426"
1120,"49,369","34,377","40,923","35,606","34,092"
1140,"50,484","35,054","41,780","36,314","34,760"
1160,"51,602","35,733","42,642","37,023","35,430"
1180,"52,724","36,406","43,509","37,734","36,104"
1200,"53,848","37,095","44,380","38,447","36,777"
1220,"54,977","37,780","45,256","39,162","37,452"
1240,"56,108","38,466","46,137","39,877","38,129"
1260,"57,244","39,154","47,022","40,594","38,807"
1280,"58,381","39,884","47,912","41,312","39,488"
1300,"59,522","40,534","48,807","42,033","40,170"
1320,"60,666","41,266","49,707","42,753","40,853"
1340,"61,813","41,919","50,612","43,475","41,539"
1360,"62,963","42,613","51,521","44,198","42,227"
1380,"64,116","43,309","52,434","44,923","42,915"
1400,"65,271","44,007","53,351","45,648","43,605"
1420,"66,427","44,707","54,273","46,374","44,295"
1440,"67,586","45,408","55,198","47,102","44,988"
1460,"68,748","46,110","56,128","47,831","45,682"
1480,"69,911","46,813","57,062","48,561","46,377"
1500,"71,078","47,517","57,999","49,292","47,073"
1520,"72,246","48,222","58,942","50,024","47,771"
1540,"73,417","48,928","59,888","50,756","48,470"
1560,"74,590","49,635","60,838","51,490","49,168"
1580,"76,767","50,344","61,792","52,224","49,896"
1600,"76,944","51,053","62,748","52,961","50,571"
1620,"78,123","51,763","63,709","53,696","51,275"
1640,"79,303","52,472","64,675","54,434","51,980"
1660,"80,486","53,184","65,643","55,172","52,686"
1680,"81,670","53,895","66,614","55,912","53,393"
1700,"82,856","54,609","67,589","56,652","54,099"
1720,"84,043","55,323","68,567","57,394","54,807"
1740,"85,231","56,039","69,550","58,136","55,516"